vehicle_id,title,description,availability,state_of_vehicle,price,url,image,make,model,year,body_style,mileage.unit,mileage.value,address.addr1,address.city,address.region,address.postal_code,address.country
211792,2026 Kenworth T880,"2026 Kenworth T880, Tri-Axle Dump, MX13, Allison 4500RDS",AVAILABLE,NEW,248719.00 USD,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T880/vin-1NKZXPTX1TR211792/,https://d8lxo54bt1xl7.cloudfront.net/prd/211792/068Ux00000S9zFYIAZ,Kenworth,T880,2026,TRUCK,MI,0,2929 South Holt RD.,Indianapolis,IN,46241,United States
211793,2026 Kenworth T880,"2026 Kenworth T880, Tri-Axle Dump, MX13, Allison 4500RDS",AVAILABLE,NEW,248719.00 USD,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T880/vin-1NKZXPTX3TR211793/,https://d8lxo54bt1xl7.cloudfront.net/prd/211793/068Ux00000S9zQpIAJ,Kenworth,T880,2026,TRUCK,MI,0,2929 South Holt RD.,Indianapolis,IN,46241,United States
211794,2026 Kenworth T880,"2026 Kenworth T880, Tri-Axle Dump, MX13, Allison 4500RDS",AVAILABLE,NEW,248719.00 USD,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T880/vin-1NKZXPTX5TR211794/,https://d8lxo54bt1xl7.cloudfront.net/prd/211794/068Ux00000SAF2VIAX,Kenworth,T880,2026,TRUCK,MI,0,2929 South Holt RD.,Indianapolis,IN,46241,United States
162475A,2025 Kenworth T880,"2025 Kenworth T880, 180"" ARI Custom Sleeper with Side Door, X15, 18 Speed AMT",AVAILABLE,USED,401416.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T880/vin-1XKZD49X4SJ162475/,https://d8lxo54bt1xl7.cloudfront.net/prd/162475A/068Ux00000PMkPJIA1,Kenworth,T880,2025,TRUCK,MI,342,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
162477A,2025 Kenworth T680,"2025 Kenworth T680, 156"" ARI Custom Sleeper with Side Door, X15, 12 Speed AMT",AVAILABLE,USED,383030.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X3SJ162477/,https://d8lxo54bt1xl7.cloudfront.net/prd/162477A/068Ux00000N14UNIAZ,Kenworth,T680,2025,TRUCK,MI,309,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
MR458881,2021 Kenworth W900,"2021 Kenworth W900L, 180"" ARI Custom Sleeper, X15, 565hp,  13 Speed Ultra Shift AMT",AVAILABLE,USED,179900.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-W900/vin-1XKWD40XXMR458881/,https://d8lxo54bt1xl7.cloudfront.net/prd/MR458881/068Ux00000NSKrXIAX,Kenworth,W900,2021,TRUCK,MI,555400,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
KJ259747,2019 Kenworth T880,"2019 Kenworth T880, Stone Slinger, MX13, 455hp, 8LL Manual",AVAILABLE,USED,149900.00 USD,https://www.palmertrucks.com/truck-details/category-Stone-Slinger/make-Kenworth/model-T880/vin-1NKZLP0X9KJ259747/,https://d8lxo54bt1xl7.cloudfront.net/prd/KJ259747/068Ux00000S4TrVIAV,Kenworth,T880,2019,TRUCK,MI,220187,2929 South Holt RD.,Indianapolis,IN,46241,United States
NJ478095,2022 Kenworth T680,"2022 Kenworth T680, 76"" High Roof, X15, 12 Speed AMT",AVAILABLE,USED,59900.00 USD,https://www.palmertrucks.com/truck-details/category-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X7NJ478095/,https://d8lxo54bt1xl7.cloudfront.net/prd/NJ478095/068Ux00000OjGhCIAV,Kenworth,T680,2022,TRUCK,MI,487498,2929 South Holt RD.,Indianapolis,IN,46241,United States
R1588460,2024 Extreme XS,"2024 Extreme XS60, 48' Aluminum Step Deck Trailer, J Track, Polished Toolbox",AVAILABLE,NEW,74900.00 USD,https://www.palmertrucks.com/truck-details/category-Trailer:-Drop-Deck/make-Extreme/model-XS/vin-1E9AB4828R1588460/,https://d8lxo54bt1xl7.cloudfront.net/prd/R1588460/068Ux00000NmqteIAB,Extreme,XS,2024,OTHER,MI,0,6425 East State Road 42,Terre Haute,IN,47803,United States
181448A,2025 Kenworth T680,"2025 Kenworth T680, 156"" ARI Custom Sleeper, X15, 12 Speed AMT",AVAILABLE,NEW,386567.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X3SJ181448/,https://d8lxo54bt1xl7.cloudfront.net/prd/181448A/068Ux00000O13u6IAB,Kenworth,T680,2025,TRUCK,MI,0,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
